# Average CPU: 65.46%
# Std Dev CPU: 9.28%
timestamp, cpu_percent
1755484279.83, 0.000
1755484280.33, 49.900
1755484280.83, 65.800
1755484281.34, 61.800
1755484281.84, 71.800
1755484282.34, 65.800
1755484282.84, 61.800
1755484283.34, 61.800
1755484283.84, 63.800
1755484284.35, 61.800
1755484284.85, 67.800
1755484285.35, 65.700
1755484285.85, 65.800
1755484286.35, 69.700
1755484286.85, 47.800
1755484287.36, 37.900
1755484287.86, 65.800
1755484288.36, 63.800
1755484288.86, 59.800
1755484289.36, 59.800
1755484289.87, 63.800
1755484290.37, 73.700
1755484290.87, 67.800
1755484291.37, 65.700
1755484291.87, 71.700
1755484292.38, 69.700
1755484292.88, 67.600
1755484293.38, 63.700
1755484293.88, 69.700
1755484294.38, 69.700
1755484294.89, 67.700
1755484295.39, 71.700
1755484295.89, 65.700
1755484296.39, 75.700
1755484296.89, 67.700
1755484297.40, 67.700
1755484297.90, 69.700
1755484298.40, 71.700
1755484298.90, 65.700
1755484299.40, 65.700
1755484299.91, 73.700
1755484300.41, 67.700
1755484300.91, 69.700
1755484301.41, 71.700
1755484301.92, 73.700
1755484302.42, 67.700
1755484302.92, 67.700
1755484303.42, 65.700
1755484303.92, 71.700
1755484304.43, 69.700
1755484304.93, 59.800
1755484305.43, 71.700
1755484305.93, 71.700
1755484306.43, 67.700
1755484306.94, 69.700
1755484307.44, 65.700
1755484307.94, 69.700
1755484308.44, 71.700
1755484308.94, 67.700
1755484309.45, 59.700
1755484309.95, 45.800
1755484310.45, 45.900
1755484310.95, 43.800
1755484311.45, 41.800
1755484311.96, 43.800
1755484312.46, 59.800
1755484312.96, 65.600
1755484313.46, 63.700
1755484313.97, 67.700
1755484314.47, 69.700
1755484314.97, 65.700
1755484315.47, 63.700
1755484315.97, 71.700
1755484316.48, 69.700
1755484316.98, 65.700
1755484317.48, 65.700
1755484317.98, 73.700
1755484318.49, 69.700
1755484318.99, 65.700
1755484319.51, 65.400
1755484320.01, 57.700
1755484320.51, 67.700
1755484321.01, 71.700
1755484321.52, 71.700
1755484322.02, 71.600
1755484322.52, 67.700
1755484323.02, 73.700
1755484323.53, 67.700
1755484324.03, 71.700
1755484324.55, 69.100
1755484325.05, 67.700
1755484325.55, 63.700
1755484326.06, 65.700
1755484326.56, 71.600
1755484327.06, 59.700
1755484327.56, 65.700
1755484328.07, 71.700
1755484328.57, 67.700
1755484329.07, 71.700
1755484329.57, 65.700
1755484330.08, 71.700
1755484330.58, 67.700
1755484331.08, 69.700
1755484331.58, 63.700
1755484332.09, 73.600
1755484332.59, 71.600
1755484333.09, 69.700
1755484333.59, 65.700
1755484334.11, 57.500
1755484334.62, 71.600
1755484335.12, 71.600
1755484335.62, 65.700
1755484336.13, 73.600
1755484336.63, 67.600
1755484337.13, 71.600
1755484337.63, 63.700
1755484338.14, 73.600
1755484338.64, 69.600
1755484339.16, 67.100
1755484339.66, 75.600
1755484340.17, 73.600
1755484340.67, 67.600
1755484341.17, 59.700
1755484341.67, 67.600
1755484342.18, 73.600
1755484342.68, 69.500
1755484343.18, 63.600
1755484343.69, 47.800
1755484344.19, 75.600
1755484344.69, 51.700
1755484345.20, 65.600
1755484345.70, 53.700
1755484346.20, 75.600
1755484346.70, 51.700
1755484347.20, 57.800
